Club,Position(s),Base Salary,Guaranteed Compensation,Name,id,rating,player_image,player_name,country_image,league_image,position,club,league,pace,shooting,passing,dribbling,defending,physical,limit
New York Red Bulls,M-F,"$650,000.00","$653,125.00",Lewis Morgan,03ba3308-dbe1-11ed-af20-acde48001122,72,,Lewis Morgan,,,RM,Inter Miami CF,Major League Soccer,84,65,69,72,52,64,2000
New York Red Bulls,M-F,"$650,000.00","$653,125.00",Lewis Morgan,03ba3308-dbe1-11ed-af20-acde48001122,72,,Lewis Morgan,,,RM,Inter Miami CF,Major League Soccer,84,65,69,72,52,64,2500
New York Red Bulls,M-F,"$650,000.00","$653,125.00",Lewis Morgan,03ba3308-dbe1-11ed-af20-acde48001122,72,,Lewis Morgan,,,RM,Inter Miami CF,Major League Soccer,84,65,69,72,52,64,3000
New York Red Bulls,M-F,"$650,000.00","$653,125.00",Lewis Morgan,03ba3308-dbe1-11ed-af20-acde48001122,72,,Lewis Morgan,,,RM,Inter Miami CF,Major League Soccer,84,65,69,72,52,64,3500
Seattle Sounders FC,F,"$1,250,000.00","$1,370,100.00",Jordan Morris,01061db8-dbdf-11ed-af20-acde48001122,74,,Jordan Morris,,,LM,Sounders FC,Major League Soccer,89,70,68,73,38,81,500
Seattle Sounders FC,F,"$1,250,000.00","$1,370,100.00",Jordan Morris,01061db8-dbdf-11ed-af20-acde48001122,74,,Jordan Morris,,,LM,Sounders FC,Major League Soccer,89,70,68,73,38,81,1000
Seattle Sounders FC,F,"$1,250,000.00","$1,370,100.00",Jordan Morris,01061db8-dbdf-11ed-af20-acde48001122,74,,Jordan Morris,,,LM,Sounders FC,Major League Soccer,89,70,68,73,38,81,1500
Seattle Sounders FC,F,"$1,250,000.00","$1,370,100.00",Jordan Morris,01061db8-dbdf-11ed-af20-acde48001122,74,,Jordan Morris,,,LM,Sounders FC,Major League Soccer,89,70,68,73,38,81,2000
Seattle Sounders FC,F,"$1,250,000.00","$1,370,100.00",Jordan Morris,01061db8-dbdf-11ed-af20-acde48001122,74,,Jordan Morris,,,LM,Sounders FC,Major League Soccer,89,70,68,73,38,81,2500
Seattle Sounders FC,F,"$1,250,000.00","$1,370,100.00",Jordan Morris,01061db8-dbdf-11ed-af20-acde48001122,74,,Jordan Morris,,,LM,Sounders FC,Major League Soccer,89,70,68,73,38,81,3000
Seattle Sounders FC,F,"$1,250,000.00","$1,370,100.00",Jordan Morris,01061db8-dbdf-11ed-af20-acde48001122,74,,Jordan Morris,,,LM,Sounders FC,Major League Soccer,89,70,68,73,38,81,3500
Nashville SC,M,"$1,637,500.00","$1,926,250.00",Hany Mukhtar,2dd6b8a0-dbe1-11ed-af20-acde48001122,72,,Hany Mukhtar,,,CAM,Nashville SC,Major League Soccer,78,65,70,75,44,63,2000
Nashville SC,M,"$1,637,500.00","$1,926,250.00",Hany Mukhtar,2dd6b8a0-dbe1-11ed-af20-acde48001122,72,,Hany Mukhtar,,,CAM,Nashville SC,Major League Soccer,78,65,70,75,44,63,2500
