Club,Name,Position(s),Base Salary,Guaranteed Compensation
Vancouver Whitecaps,Sebastian Berhalter,M,"$100,000.00","$137,250.00"
Vancouver Whitecaps,Janio Bikel,M,"$400,000.00","$438,750.00"
Vancouver Whitecaps,Tristan Blackmon,D,"$350,000.00","$401,208.00"
Vancouver Whitecaps,Isaac Boehmer,GK,"$65,500.00","$65,500.00"
Vancouver Whitecaps,Javain Brown,D,"$84,000.00","$97,481.00"
Vancouver Whitecaps,Deiber Caickdo,M-F,"$300,000.00","$331,125.00"
Vancouver Whitecaps,Matteo Campagna,D-M,"$65,500.00","$74,512.00"
Vancouver Whitecaps,Lucas Cavallini,F,"$1,200,000.00","$1,462,500.00"
Vancouver Whitecaps,Derek Cornelius,D,"$127,050.00","$127,050.00"
Vancouver Whitecaps,Cody Cropper,GK,"$84,000.00","$84,000.00"
Vancouver Whitecaps,Andres Cubas,M,"$900,000.00","$900,000.00"
Vancouver Whitecaps,Cristian Dajome,F,"$750,000.00","$815,625.00"
Vancouver Whitecaps,David Egbo,F,"$66,724.00","$66,724.00"
Vancouver Whitecaps,Ryan Gauld,M,"$2,160,000.00","$2,265,000.00"
Vancouver Whitecaps,Marcus Godinho,D,"$85,444.00","$88,444.00"
Vancouver Whitecaps,Erik Godoy,D,"$550,000.00","$550,000.00"
Vancouver Whitecaps,Julian Gressel,M,"$914,000.00","$969,781.00"
Vancouver Whitecaps,Cristian Gutierrez,D,"$250,000.00","$267,500.00"
Vancouver Whitecaps,Kamron Habibullah,M-F,"$84,000.00","$94,882.00"
Vancouver Whitecaps,Thomas Hasal,GK,"$155,000.00","$173,934.00"
Vancouver Whitecaps,Florian Jungwirth,D-M,"$550,000.00","$592,667.00"
Vancouver Whitecaps,Luis MaCins,D,"$300,000.00","$329,000.00"
Vancouver Whitecaps,Jake Nerwinski,D,"$265,000.00","$280,000.00"
Vancouver Whitecaps,Evan Newton,GK,"$105,000.00","$114,802.00"
Vancouver Whitecaps,Leonard Owusu,M,"$350,000.00","$401,250.00"
Vancouver Whitecaps,Ryan Raposo,M,"$100,000.00","$114,000.00"
Vancouver Whitecaps,Tosaint RicCetts,F,"$84,000.00","$84,000.00"
Vancouver Whitecaps,Alessandro Schöpf,M,"$800,000.00","$892,500.00"
Vancouver Whitecaps,Caio Alexand Sousa e Silva,M,"$500,000.00","$562,500.00"
Vancouver Whitecaps,Russell Teibert,M,"$400,000.00","$449,375.00"
Vancouver Whitecaps,Ranko Veselinovic,D,"$405,000.00","$490,500.00"
Vancouver Whitecaps,Pedro Vite,M,"$556,000.00","$609,997.00"
Vancouver Whitecaps,Brian White,F,"$456,000.00","$456,000.00"
